subject_num,gender,angle,time,response,expected_answer,correct,false_positive,false_negative,source,axis,axis_difficulty,num_of_repeats,encoding_time,landmarking_time,rotation_time,decision_time
1,male,180,4.484,same,same,1,0,0,model,[0 1 0],0.0,1,0.551,0.264,2.234,1.384
1,male,135,4.964,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.22,2.984,1.109
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,135,2.545,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.238,0.734,1.022
1,male,90,4.317,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.226,2.684,0.756
1,male,90,3.626,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.182,1.784,1.008
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,180,4.741,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.292,2.534,1.264
1,male,135,4.502,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.217,2.534,1.099
1,male,135,3.499,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.229,1.484,1.135
1,male,90,2.161,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.166,0.584,0.859
1,male,45,3.58,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.148,2.084,0.697
1,male,45,2.323,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.151,0.734,0.787
1,male,135,2.574,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.247,0.734,1.041
1,male,180,5.008,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.278,3.284,0.794
1,male,180,3.081,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.265,1.184,1.081
1,male,0,1.646,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,135,2.486,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.22,0.734,0.981
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,45,2.668,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.141,1.184,0.692
1,male,135,3.691,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.258,1.784,0.998
1,male,180,6.637,same,same,1,0,0,model,[0 0 1],0.0,2,0.551,0.266,4.934,0.786
